year,csu_id,week,test,#
2013,CSU-4950,32,POS,135
2013,CSU-4955,32,POS,136
2013,CSU-4956,32,POS,137
2013,CSU-4960,32,POS,138
2013,CSU-4964,32,POS,139
2013,CSU-4965,32,POS,140
2013,CSU-4967,32,POS,141
2013,CSU-4974,32,POS,142
2013,CSU-4975,32,POS,143
2013,CSU-4978,32,POS,144
2013,CSU-4979,32,POS,145
2013,CSU-4981,32,POS,146
2013,CSU-4983,32,POS,147
2013,CSU-4987,32,POS,148
2013,CSU-4989,32,POS,149
2013,CSU-4991,32,POS,150
2013,CSU-4993,32,POS,151
2013,CSU-4994,32,POS,152
2013,CSU-4999,32,POS,153
2013,CSU-5001,32,POS,154
2013,CSU-5003,32,POS,155
2013,CSU-5004,32,POS,156
2013,CSU-5005,32,POS,157
2013,CSU-5010,32,POS,158
2013,CSU-5024,32,POS,159
2013,CSU-5028,32,POS,160
2013,CSU-5032,32,POS,161
2013,CSU-5039,32,POS,162
,,,,
Year,CSU Pool,Week,Test Result,#
2013,CSU-5049,33,POS,163
2013,CSU-5051,33,POS,164
2013,CSU-5059,33,POS,165
2013,CSU-5063,33,POS,166
2013,CSU-5070,33,POS,167
2013,CSU-5071,33,POS,168
2013,CSU-5073,33,POS,169
2013,CSU-5076,33,POS,170
2013,CSU-5078,33,POS,171
2013,CSU-5108,33,POS,172
2013,CSU-5111,33,POS,173
2013,CSU-5126,33,POS,174
2013,CSU-5142,33,POS,175
2013,CSU-5162,33,POS,176
2013,CSU-5166,33,POS,177
2013,CSU-5177,34,POS,178
2013,CSU-5181,34,POS,179
2013,CSU-5183,34,POS,180
2013,CSU-5193,34,POS,181
2013,CSU-5198,34,POS,182
2013,CSU-5200,34,POS,183
2013,CSU-5201,34,POS,184
2013,CSU-5210,34,POS,185
2013,CSU-5236,34,POS,186
2013,CSU-5243,34,POS,187
2013,CSU-5255,34,POS,188
2013,CSU-5266,34,POS,189
2013,CSU-5268,34,POS,190
2013,CSU-5269,34,POS,191
2013,CSU-5271,34,POS,192
2013,CSU-5274,34,POS,193
2013,CSU-5284,34,POS,194
2013,CSU-5297,34,POS,195
2013,CSU-5301,35,POS,196
2013,CSU-5306,35,POS,197
2013,CSU-5308,35,POS,198
2013,CSU-5313,35,POS,199
2013,CSU-5320,35,POS,200
2013,CSU-5325,35,POS,201
2013,CSU-5344,35,POS,202
2013,CSU-5349,35,POS,203
2013,CSU-5358,35,POS,204
2013,CSU-5359,35,POS,205
2013,CSU-5360,35,POS,206
2013,CSU-5361,35,POS,207
2013,CSU-5368,35,POS,208
2013,CSU-5369,35,POS,209
2013,CSU-5384,35,POS,210
2013,CSU-5385,35,POS,211
2013,CSU-5386,35,POS,212
2013,CSU-5392,35,POS,213
